name,category,subcategory,shelf_life_display,shelf_life_min_days,shelf_life_max_days,notes
Cereal: dry mixes,baby_food,,Expiration date on package,,,
"Dry snacks, Puffs",baby_food,,Inspect for freshness beyond Best By Date,,,
Jars / Cans,baby_food,,Two months beyond date on package,60,60,
Squeeze pouches,baby_food,,Two months beyond date on package,60,60,
Formula,baby_food,,Expiration date on package,,,
Juice,baby_food,,1 year,365,365,
"Beans, canned (Canned / Jarred)",shelf_stable,Canned / Jarred,3 years,1095,1095,
"Fish: salmon, tuna, sardines, mackerel (Canned / Jarred)",shelf_stable,Canned / Jarred,3 years,1095,1095,
"Fruit (including applesauce, juices) (Canned / Jarred)",shelf_stable,Canned / Jarred,1-2 years,365,730,High-acid food
"Pickles, sauerkraut (Canned / Jarred)",shelf_stable,Canned / Jarred,1-2 years,365,730,High-acid food
Baked beans w/mustard or vinegar (Canned / Jarred),shelf_stable,Canned / Jarred,1-2 years,365,730,High-acid food
"Tomatoes, tomato-based soups and sauces (Canned / Jarred)",shelf_stable,Canned / Jarred,1-2 years,365,730,High-acid food
"Gravy, soups/broths that aren't tomato based (Canned / Jarred)",shelf_stable,Canned / Jarred,2-3 years,730,1095,Low-acid food
"Pasta, stew, cream sauces (Canned / Jarred)",shelf_stable,Canned / Jarred,2-3 years,730,1095,Low-acid food
Vegetables (no tomatoes) (Canned / Jarred),shelf_stable,Canned / Jarred,2-3 years,730,1095,Low-acid food
"Meat: beef, chicken, pork, turkey (Canned / Jarred)",shelf_stable,Canned / Jarred,2-3 years,730,1095,
Pie filling (Canned / Jarred),shelf_stable,Canned / Jarred,3 years,1095,1095,
UHT Milk (Aseptic (Pouches)),shelf_stable,Aseptic (Pouches),1 year,365,365,
"Broth: beef, chicken or vegetable (Aseptic (Pouches))",shelf_stable,Aseptic (Pouches),3 years,1095,1095,
Soup (Aseptic (Pouches)),shelf_stable,Aseptic (Pouches),3 years,1095,1095,
Freeze Dried Foods (Aseptic (Pouches)),shelf_stable,Aseptic (Pouches),Indefinitely,99999,99999,
"Fruits; pouch, bag, cup (Aseptic (Pouches))",shelf_stable,Aseptic (Pouches),3 years,1095,1095,
"Meat; fish, tuna, beef, chicken (Aseptic (Pouches))",shelf_stable,Aseptic (Pouches),2-3 years,730,1095,
"Pastes; tomato, anchovy (Aseptic (Pouches))",shelf_stable,Aseptic (Pouches),1-2 years,365,730,
"Vegetables; pouch, bag, cup (Aseptic (Pouches))",shelf_stable,Aseptic (Pouches),3 years,1095,1095,
Barbeque Sauce (bottled) (Condiments / Sauces / Syrups),shelf_stable,Condiments / Sauces / Syrups,1 year,365,365,
"Broth; beef, chicken (liquid or paste) (Condiments / Sauces / Syrups)",shelf_stable,Condiments / Sauces / Syrups,1 year,365,365,
"Frosting, plastic tub (Condiments / Sauces / Syrups)",shelf_stable,Condiments / Sauces / Syrups,12-18 months,365,548,
Gravy (dry mix envelopes) (Condiments / Sauces / Syrups),shelf_stable,Condiments / Sauces / Syrups,2 years,730,730,
Honey (Condiments / Sauces / Syrups),shelf_stable,Condiments / Sauces / Syrups,2 years,730,730,Remains safe after crystallization
"Jams, jellies, preserves (Condiments / Sauces / Syrups)",shelf_stable,Condiments / Sauces / Syrups,18 months,548,548,
"Ketchup, cocktail, or chili sauce: jar, bottle or packet (Condiments / Sauces / Syrups)",shelf_stable,Condiments / Sauces / Syrups,18 months,548,548,
"Mayonnaise: jar, bottle or packet (Condiments / Sauces / Syrups)",shelf_stable,Condiments / Sauces / Syrups,3-6 months,90,180,
Olives (Canned / Jarred),shelf_stable,Canned / Jarred,18-24 months,540,730,
Pickles (canned) (Canned / Jarred),shelf_stable,Canned / Jarred,1 year,365,365,
Pickles (jarred) (Canned / Jarred),shelf_stable,Canned / Jarred,2 years,730,730,Discard if inside of lid is rusty upon opening
Salad dressings; bottled (Condiments / Sauces / Syrups),shelf_stable,Condiments / Sauces / Syrups,1 year,365,365,
Salsa: bottled (Condiments / Sauces / Syrups),shelf_stable,Condiments / Sauces / Syrups,12-18 months,365,540,
"Syrup (chocolate, corn, pancake) (Condiments / Sauces / Syrups)",shelf_stable,Condiments / Sauces / Syrups,2 years,730,730,
Vinegar (Condiments / Sauces / Syrups),shelf_stable,Condiments / Sauces / Syrups,2 years,730,730,
Worcestershire sauce (Condiments / Sauces / Syrups),shelf_stable,Condiments / Sauces / Syrups,2 years,730,730,
"Baking mix, pancake (Dry Goods)",shelf_stable,Dry Goods,9 months,270,270,
"Baking mixes (brownie, cake, muffin, pudding, etc.) (Dry Goods)",shelf_stable,Dry Goods,12-18 months,365,540,
Baking powder (Dry Goods),shelf_stable,Dry Goods,18 months,540,540,
Baking soda (Dry Goods),shelf_stable,Dry Goods,Indefinite (if kept dry),99999,99999,
"Beans, dried (Dry Goods)",shelf_stable,Dry Goods,1 year,365,365,
"Bouillon: beef, chicken, vegetable) (Dry Goods)",shelf_stable,Dry Goods,12-24 months,365,730,
"Bread, commercially prepared with preservatives (including rolls) (Dry Goods)",shelf_stable,Dry Goods,3-5 days at room temp,3,5,Will keep for longer if frozen
"Bread, fresh from bakery without preservatives (Dry Goods)",shelf_stable,Dry Goods,2-4 days,2,4,Will keep longer if frozen
"Cakes, commercially prepared (Dry Goods)",shelf_stable,Dry Goods,2-4 days at room temp,2,4,Will keep for longer if frozen
Candy (chocolate) (Dry Goods),shelf_stable,Dry Goods,18 months,540,540,
Casserole Mix (Dry Goods),shelf_stable,Dry Goods,9-12 months,270,365,
"Cereal, cold (Dry Goods)",shelf_stable,Dry Goods,1 year,365,365,
"Cereal, hot (Dry Goods)",shelf_stable,Dry Goods,1 year,365,365,
"Chips; potato, tortilla, veggie (Dry Goods)",shelf_stable,Dry Goods,6 months,180,180,
Cookies (Dry Goods),shelf_stable,Dry Goods,4 months,120,120,
Cookie Mix (Dry Goods),shelf_stable,Dry Goods,12-18 months,365,540,
