name,category,subcategory,shelf_life_display,shelf_life_min_days,shelf_life_max_days,notes
Cereal: dry mixes,baby_food,,Expiration date on package,,,
"Dry snacks, Puffs",baby_food,,Inspect for freshness beyond Best By Date,,,
Formula,baby_food,,Expiration date on package,,,
Jars / Cans,baby_food,,Two months beyond date on package,60,60,
Juice,baby_food,,1 year,365,365,
Squeeze pouches,baby_food,,Two months beyond date on package,60,60,
Bacon,frozen,Items Purchased Frozen,6 months,180,180,
"Bacon, deli or butcher block",frozen,"Meats, Processed",6 months,180,180,
"Bacon, unopened",frozen,"Meats, Processed",6 months,180,180,
Beef Roasts,frozen,"Meats, Raw",1 year,365,365,
Beef Steaks,frozen,"Meats, Raw",1 year,365,365,
"Bread, Bagels",frozen,Items Purchased Frozen,3 months,90,90,
Butter,frozen,Dairy & Cooler Items,1 year,365,365,
"Cheese, Deli sliced",frozen,Dairy & Cooler Items,6-8 months,180,240,
"Cheese, hard",frozen,Dairy & Cooler Items,6-8 months,180,240,
"Cheese, processed sliced, shredded, string",frozen,Dairy & Cooler Items,6 months,180,180,
"Cheese, soft",frozen,Dairy & Cooler Items,6 months,180,180,
"Chicken, Roasted or Fried",frozen,Prepared Items / Deli Foods,4-6 months,120,180,
"Chicken, fried, deli",frozen,"Meats, Processed",4 months,120,120,
"Chicken, nuggets/patties",frozen,Items Purchased Frozen,2 months,60,60,
"Chicken, pieces",frozen,Items Purchased Frozen,9 months,270,270,
"Chicken, whole",frozen,Items Purchased Frozen,1 year,365,365,
"Coffee creamer, dairy",frozen,Dairy & Cooler Items,Follow label instructions,,,
"Crab, in the shell; whole, legs, claws",frozen,"Meats, Fresh",9-12 months,270,365,
"Cream, Half & Half",frozen,Dairy & Cooler Items,4 months,120,120,Use for cooking
"Cream, Heavy",frozen,Dairy & Cooler Items,3-4 months,90,120,Use for cooking
"Cream, Light",frozen,Dairy & Cooler Items,3-4 months,90,120,Use for cooking
"Crust, pie or pizza ready to bake",frozen,Dairy & Cooler Items,2 months,60,60,
"Deli Meat, retail packaged",frozen,Prepared Items / Deli Foods,90 days,90,90,
"Deli or Lunch Meat, Retail Packed Only",frozen,Dairy & Cooler Items,1-2 months,30,60,
"Desserts, frozen baked goods",frozen,Items Purchased Frozen,3-4 months,90,120,
"Desserts, frozen cream pies",frozen,Items Purchased Frozen,1-2 months,30,60,
"Dinners: beef, turkey, chicken or fish",frozen,Items Purchased Frozen,6 months,180,180,
"Dinners: pies, casseroles, shrimp, ham, pork or sausage",frozen,Items Purchased Frozen,3-4 months,90,120,
"Dough, bread",frozen,Items Purchased Frozen,1 month,30,30,"Longer storage inactivates yeast, weakens gluten"
"Dough, cookie",frozen,Dairy & Cooler Items,2-3 months,60,90,
Egg Nog,frozen,Dairy & Cooler Items,6 months,180,180,
"Eggs, pasteurized carton egg substitute",frozen,Dairy & Cooler Items,1 year,365,365,
"Eggs, pasteurized carton real eggs, unopened",frozen,Dairy & Cooler Items,1 year,365,365,
"Eggs, whites or yolks",frozen,Dairy & Cooler Items,12 months,365,365,
Eggs; pasteurized in cartons,frozen,Items Purchased Frozen,1 year,365,365,"Purchased frozen, unopened, never thawed"
"Fish, breaded",frozen,Items Purchased Frozen,4-6 months,120,180,
"Fish, finned, fatty; salmon, tuna",frozen,Items Purchased Frozen,2-3 months,60,90,
"Fish, finned, lean; cod, halibut",frozen,Items Purchased Frozen,6-8 months,180,240,
"Fish, finned, lean; pollock, perch, trout",frozen,Items Purchased Frozen,4-8 months,120,240,
"Fruit, frozen",frozen,Items Purchased Frozen,4-6 months,120,180,
"Ground Meats (beef, pork, lamb, or poultry)",frozen,"Meats, Raw",9-12 months,270,365,
Guacamole,frozen,Prepared Items / Deli Foods,6 months,180,180,
"Ham, cooked, store wrapped, vacuum packed",frozen,Items Purchased Frozen,1-2 months,30,60,
"Ham, fresh, uncured, cooked",frozen,Items Purchased Frozen,3-4 months,90,120,
"Ham, fresh, uncured, uncooked",frozen,Items Purchased Frozen,6 months,180,180,
"Ham, unopened",frozen,"Meats, Processed",1 year,365,365,
Hot Dogs,frozen,"Meats, Processed",9 months,270,270,
Hummus,frozen,Dairy & Cooler Items,1-2 months,30,60,
Ice Cream,frozen,Items Purchased Frozen,6 months,180,180,
Ice Pops,frozen,Items Purchased Frozen,6 months,180,180,
Juice concentrate,frozen,Items Purchased Frozen,2 years,730,730,
"Juice, purchased refrigerated",frozen,Dairy & Cooler Items,8-12 months,240,365,
Lamb Roasts,frozen,"Meats, Raw",1 year,365,365,
Lamb steaks/Chops,frozen,"Meats, Raw",1 year,365,365,
"Lobster Tails, raw",frozen,"Meats, Fresh",6-9 months,180,270,
"Luncheon Meats, deli sliced",frozen,"Meats, Processed",6 months,180,180,
"Luncheon Meats, unopened commercial package",frozen,"Meats, Processed",1-2 months,30,60,
Luncheon meat,frozen,Items Purchased Frozen,1-2 months,30,60,
"Main dishes, meals",frozen,Prepared Items / Deli Foods,2-3 months,60,90,
Margarine,frozen,Dairy & Cooler Items,12 months,365,365,
"Meat, beef, veal, lamb, pork; chops, roasts, steaks",frozen,Items Purchased Frozen,4-12 months,120,365,
"Meat, ground beef, pork, poultry",frozen,Items Purchased Frozen,6 months,180,180,
Meats in gravy or broth (including meat pies),frozen,Prepared Items / Deli Foods,6 months,180,180,
Milk,frozen,Dairy & Cooler Items,Can be frozen,,,
"Pasta, fresh",frozen,Dairy & Cooler Items,2 months,60,60,
"Pepperoni, salami",frozen,"Meats, Processed",6 months,180,180,
"Pesto, jar/tub",frozen,Dairy & Cooler Items,6-8 months,180,240,
Pork Chops,frozen,"Meats, Raw",1 year,365,365,
Pork Roasts,frozen,"Meats, Raw",1 year,365,365,
"Potato products; fries, hashbrowns",frozen,Items Purchased Frozen,8-10 months,240,300,
"Pouch or container, cooked; beef, chicken, pork",frozen,"Meats, Processed",6-8 months,180,240,
"Poultry: Chicken or Turkey, whole",frozen,"Meats, Raw",1 year,365,365,
